fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,color,fixed_acidity^2,fixed_acidity volatile_acidity,fixed_acidity citric_acid,fixed_acidity residual_sugar,fixed_acidity chlorides,fixed_acidity free_sulfur_dioxide,fixed_acidity total_sulfur_dioxide,fixed_acidity density,fixed_acidity pH,fixed_acidity sulphates,fixed_acidity alcohol,fixed_acidity quality,volatile_acidity^2
6.7,0.21,0.48,14.8,0.05,31,195,0.99942,2.95,0.75,8.8,6,white,44.89,1.407,3.216,99.16,0.335,207.7,1306.5,6.696114,19.765,5.025,58.96,40.2,0.0441
7.5,0.23,0.35,17.8,0.058,128,212,1.00241,3.44,0.43,8.9,5,white,56.25,1.725,2.625,133.5,0.435,960,1590,7.518075,25.8,3.225,66.75,37.5,
7.3,0.24,0.43,2,0.021,20,69,0.99,3.08,0.56,12.2,6,white,53.29,1.752,3.139,14.6,0.1533,146,503.7,7.227,22.484,4.088,89.06,43.8,0.0576
6,0.24,0.41,1.3,0.036,42,118,0.99018,3.04,0.64,11.75,6,white,36,1.44,2.46,7.8,0.216,252,708,5.94108,18.24,3.84,70.5,36,0.0576
9,0.24,0.5,s,0.048,26,,0.9918,3.21,0.34,12.4,6,white,81,2.16,4.5,10.8,0.432,234,963,8.9262,28.89,3.06,111.6,54,0.0576
4.8,0.225,0.38,1.2,0.074,47,130,0.99132,3.31,0.4,10.3,6,white,23.04,1.08,1.824,5.76,0.3552,225.6,624,4.758336,15.888,1.92,49.44,28.8,0.050625
6.3,0.23,0.22,3.75,0.039,37,116,0.9927,3.23,0.5,10.7,6,white,39.69,1.449,1.386,23.625,0.2457,233.1,730.8,6.25401,20.349,3.15,67.41,37.8,0.0529
8.9,0.31,0.36,2.6,0.056,10,39,0.99562,3.4,0.69,11.8,5,red,79.21,2.759,3.204,23.14,0.4984,89,347.1,8.861018,30.26,6.141,105.02,44.5,0.0961
5.9,0.22,0.29,4.2,0.037,69,144,0.99214,3.13,0.74,10.8,7,white,34.81,1.298,1.711,24.78,0.2183,407.1,849.6,5.853626,18.467,4.366,63.72,41.3,0.0484
6.3,0.23,0.49,7.1,0.05,67,210,0.9951,3.23,0.34,9.5,5,white,39.69,1.449,3.087,44.73,0.315,422.1,1323,6.26913,20.349,2.142,59.85,31.5,0.0529
5.7,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,7,white,32.49,1.824,2.166,27.075,0.1881,131.1,535.8,5.6487,19.494,2.394,67.26,39.9,0.1024
7.4,0.31,0.74,10.7,0.039,51,147,0.9977,3.02,0.43,8.7,5,white,54.76,2.294,5.476,79.18,0.2886,377.4,1087.8,7.38298,22.348,3.182,64.38,37,0.0961
6.8,0.32,0.33,0.7,0.027,15,66,0.9899,3.11,0.31,11.8,6,white,46.24,2.176,2.244,4.76,0.1836,102,448.8,6.73132,21.148,2.108,80.24,40.8,0.1024
6.2,0.2,0.26,1.7,0.093,40,161,0.9924,3.44,0.66,11,5,white,38.44,1.24,1.612,10.54,0.5766,248,998.2,6.15288,21.328,4.092,68.2,31,0.04
7,0.39,0.24,1,0.048,8,119,0.9923,3,0.31,10.1,4,white,49,2.73,1.68,7,0.336,56,833,6.9461,21,2.17,70.7,28,0.1521
6,0.24,0.27,1.9,0.048,40,170,0.9938,3.64,0.54,10,7,white,36,1.44,1.62,11.4,0.288,240,1020,5.9628,21.84,3.24,60,42,0.0576
7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,7,white,50.41,1.846,2.414,102.24,0.4757,248.5,1341.9,7.09006,21.797,3.763,64.61,49.7,0.0676
6.1,0.34,0.24,18.35,0.05,33,184,0.99943,3.12,0.61,9.3,5,white,37.21,2.074,1.464,111.935,0.305,201.3,1122.4,6.096523,19.032,3.721,56.73,30.5,0.1156
7.9,0.72,0.01,1.9,0.076,7,32,0.99668,3.39,0.54,9.6,5,red,62.41,5.688,0.079,15.01,0.6004,55.3,252.8,7.873772,26.781,4.266,75.84,39.5,0.5184
9.8,0.45,0.38,2.5,0.081,34,66,0.99726,3.15,0.58,9.8,5,red,96.04,4.41,3.724,24.5,0.7938,333.2,646.8,9.773148,30.87,5.684,96.04,49,0.2025
6.2,0.32,0.12,4.8,0.054,6,97,0.99424,3.16,0.5,9.3,5,white,38.44,1.984,0.744,29.76,0.3348,37.2,601.4,6.164288,19.592,3.1,57.66,31,0.1024
5.2,0.25,0.23,1.4,0.047,20,77,0.99001,3.32,0.62,11.4,5,white,27.04,1.3,1.196,7.28,0.2444,104,400.4,5.148052,17.264,3.224,59.28,26,0.0625
6.7,0.54,0.27,7.1,0.049,8,178,0.99502,3.16,0.38,9.4,4,white,44.89,3.618,1.809,47.57,0.3283,53.6,1192.6,6.666634,21.172,2.546,62.98,26.8,0.2916
6.3,0.2,0.18,10.6,0.045,57,159,0.99666,3.09,0.54,9.2,5,white,39.69,1.26,1.134,66.78,0.2835,359.1,1001.7,6.278958,19.467,3.402,57.96,31.5,0.04
7.2,0.34,0.23,8.9,0.105,22,155,0.99692,3.01,0.58,9.5,5,white,51.84,2.448,1.656,64.08,0.756,158.4,1116,7.177824,21.672,4.176,68.4,36,0.1156
7.2,0.14,0.35,1.2,0.036,15,73,0.9938,3.46,0.39,9.9,5,white,51.84,1.008,2.52,8.64,0.2592,108,525.6,7.15536,24.912,2.808,71.28,36,0.0196
9.9,0.25,0.46,1.7,0.062,26,42,0.9959,3.18,0.83,10.6,6,red,98.01,2.475,4.554,16.83,0.6138,257.4,415.8,9.85941,31.482,8.217,104.94,59.4,0.0625
6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,6,white,37.21,0.915,1.769,37.82,0.2806,237.9,921.1,6.067731,21.96,2.684,64.66,36.6,0.0225
10,0.73,0.43,2.3,0.059,15,31,0.9966,3.15,0.57,11,5,red,100,7.3,4.3,23,0.59,150,310,9.966,31.5,5.7,110,50,0.5329
5.1,0.585,0,1.7,0.044,14,86,0.99264,3.56,0.94,12.9,7,red,26.01,2.9835,0,8.67,0.2244,71.4,438.6,5.062464,18.156,4.794,65.79,35.7,0.342225
8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,5,red,65.61,4.536,2.268,13.77,2.9808,129.6,453.6,8.07408,25.191,10.368,75.33,40.5,0.3136
6.7,0.19,0.32,3.7,0.041,26,76,0.99173,2.9,0.57,10.5,7,white,44.89,1.273,2.144,24.79,0.2747,174.2,509.2,6.644591,19.43,3.819,70.35,46.9,0.0361
7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5,red,59.29,5.313,1.694,14.63,0.6468,138.6,723.8,7.66997,25.487,3.696,73.15,38.5,0.4761
12,0.28,0.49,1.9,0.074,10,21,0.9976,2.98,0.66,9.9,7,red,144,3.36,5.88,22.8,0.888,120,252,11.9712,35.76,7.92,118.8,84,0.0784
7,0.17,0.37,5.7,0.025,29,111,0.9938,3.2,0.49,10.8,6,white,49,1.19,2.59,39.9,0.175,203,777,6.9566,22.4,3.43,75.6,42,0.0289
7.1,0.735,0.16,1.9,0.1,15,77,0.9966,3.27,0.64,9.3,5,red,50.41,5.2185,1.136,13.49,0.71,106.5,546.7,7.07586,23.217,4.544,66.03,35.5,0.540225
5.6,0.245,0.25,9.7,0.032,12,68,0.994,3.31,0.34,10.5,5,white,31.36,1.372,1.4,54.32,0.1792,67.2,380.8,5.5664,18.536,1.904,58.8,28,0.060025
7.8,0.91,0.07,1.9,0.058,22,47,0.99525,3.51,0.43,10.7,6,red,60.84,7.098,0.546,14.82,0.4524,171.6,366.6,7.76295,27.378,3.354,83.46,46.8,0.8281
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4,red,77.44,5.368,2.64,24.64,0.7744,149.6,404.8,8.77888,28.688,4.488,81.84,35.2,0.3721
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5,red,57.76,4.18,1.596,16.72,0.5396,53.2,212.8,7.57264,24.928,4.18,73.72,38,0.3025
6.6,0.4,0.46,6.2,0.056,42,241,0.9968,3.5,0.6,9.9,5,white,43.56,2.64,3.036,40.92,0.3696,277.2,1590.6,6.57888,23.1,3.96,65.34,33,0.16
6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,5,white,36,1.68,2.94,40.8,0.288,366,1332,5.9718,19.14,2.82,55.8,30,0.0784
6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,7,white,47.61,1.242,2.484,8.97,0.2484,276,807.3,6.85446,22.563,6.555,65.55,48.3,0.0324
6,0.19,0.29,1.1,0.047,67,152,0.9916,3.54,0.59,11.1,7,white,36,1.14,1.74,6.6,0.282,402,912,5.9496,21.24,3.54,66.6,42,0.0361
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6,white,51.84,1.656,2.736,102.96,0.4176,396,1396.8,7.18488,22.248,3.168,64.8,43.2,0.0529
7.5,0.35,0.48,12.4,0.056,61,176.5,0.99803,2.97,0.52,8.8,5,white,56.25,2.625,3.6,93,0.42,457.5,1323.75,7.485225,22.275,3.9,66,37.5,0.1225
6,0.19,0.26,1.4,0.039,30,104,0.98998,3.32,0.41,12.4,6,white,36,1.14,1.56,8.4,0.234,180,624,5.93988,19.92,2.46,74.4,36,0.0361
6.3,0.24,0.35,2.3,0.039,43,109,0.99056,3.34,0.44,11.8,6,white,39.69,1.512,2.205,14.49,0.2457,270.9,686.7,6.240528,21.042,2.772,74.34,37.8,0.0576
8.2,0.2,0.38,3.5,0.053,41,174,0.99306,3.22,0.41,11.6,5,white,67.24,1.64,3.116,28.7,0.4346,336.2,1426.8,8.143092,26.404,3.362,95.12,41,0.04
8.6,0.17,0.28,2.7,0.047,38,150,0.99365,3.1,0.56,10.8,6,white,73.96,1.462,2.408,23.22,0.4042,326.8,1290,8.54539,26.66,4.816,92.88,51.6,0.0289
6.2,0.15,0.46,1.6,0.039,38,123,0.993,3.38,0.51,9.7,6,white,38.44,0.93,2.852,9.92,0.2418,235.6,762.6,6.1566,20.956,3.162,60.14,37.2,0.0225
7.3,0.25,0.41,1.8,0.037,52,165,0.9911,3.29,0.39,12.2,7,white,53.29,1.825,2.993,13.14,0.2701,379.6,1204.5,7.23503,24.017,2.847,89.06,51.1,0.0625
6.5,0.26,0.31,1.3,0.034,59,145,0.98944,3.16,0.54,12.4,6,white,42.25,1.69,2.015,8.45,0.221,383.5,942.5,6.43136,20.54,3.51,80.6,39,0.0676
6.7,0.19,0.34,1,0.022,22,94,0.9912,3.23,0.57,11.1,6,white,44.89,1.273,2.278,6.7,0.1474,147.4,629.8,6.64104,21.641,3.819,74.37,40.2,0.0361
5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6,white,32.49,1.254,1.254,94.905,0.2508,222.3,627,5.691735,18.468,2.736,51.3,34.2,0.0484
